model	n_eval	accuracy	precision_macro	recall_macro	f1_macro	precision_weighted	recall_weighted	f1_weighted	f1_virus	recall_virus	precision_virus	f1_plasmid	recall_plasmid	precision_plasmid	f1_bacteria	recall_bacteria	precision_bacteria	f1_eukaryota	recall_eukaryota	precision_eukaryota
4cac	3992.0	0.7289579158316634	0.6082024857171152	0.4658197554677149	0.4860533038145036	0.8690659439276457	0.7289579158316634	0.7844180309377702	0.07239819004524888	0.14035087719298245	0.04878048780487805	0.1935483870967742	0.11475409836065574	0.6176470588235294	0.8094494338149161	0.7327677624602333	0.904055822067161	0.8688172043010752	0.875406283856988	0.8623265741728922
dmc	3992.0	0.3527054108216433	0.5550991084108026	0.37741421220402077	0.3835864423247509	0.859979214541299	0.3527054108216433	0.46938206844726044	0.012200081333875559	0.2631578947368421	0.0062447960033305576	0.3081761006289308	0.2677595628415301	0.362962962962963	0.36526110025132646	0.23117709437963946	0.8696808510638298	0.8487084870848709	0.7475622968580715	0.9815078236130867
