model	accuracy	f1_macro	f1_weighted	precision_bacteria	recall_bacteria	f1_bacteria	precision_eukaryota	recall_eukaryota	f1_eukaryota	precision_plasmid	recall_plasmid	f1_plasmid	precision_virus	recall_virus	f1_virus	p_thr	v_thr	circ_len
best_tuned_accuracy	0.8218937875751503	0.5338772042673139	0.8512290996752808	0.902330743618202	0.8621420996818664	0.8817787418655098	0.984029484029484	0.8678223185265439	0.922279792746114	0.5	0.180327868852459	0.2650602409638554	0.0434782608695652	0.1403508771929824	0.0663900414937759	0.75	0.9	50000.0
pred_hyb	0.8206412825651302	0.5228455491203917	0.8490433225368785	0.900811209439528	0.8635560268646165	0.8817902905612706	0.984029484029484	0.8678223185265439	0.922279792746114	0.5102040816326531	0.1366120218579235	0.2155172413793103	0.0507246376811594	0.1228070175438596	0.0717948717948717			
pred_hybrid_rescue	0.8038577154308617	0.5785156493110788	0.8470142948269415	0.923479661699557	0.8105337575114882	0.8633283132530121	0.984029484029484	0.8678223185265439	0.922279792746114	0.3724137931034483	0.5901639344262295	0.4566596194503171	0.0507246376811594	0.1228070175438596	0.0717948717948717			
pred_circular_rescue	0.8038577154308617	0.5785156493110788	0.8470142948269415	0.923479661699557	0.8105337575114882	0.8633283132530121	0.984029484029484	0.8678223185265439	0.922279792746114	0.3724137931034483	0.5901639344262295	0.4566596194503171	0.0507246376811594	0.1228070175438596	0.0717948717948717			
final_model_rescue	0.8038577154308617	0.5785156493110788	0.8470142948269415	0.923479661699557	0.8105337575114882	0.8633283132530121	0.984029484029484	0.8678223185265439	0.922279792746114	0.3724137931034483	0.5901639344262295	0.4566596194503171	0.0507246376811594	0.1228070175438596	0.0717948717948717			
pred_hierarchical	0.7560120240480962	0.5565046955243249	0.8061766881011683	0.9327920613441588	0.7310003534817957	0.8196591359492668	0.8556806550665302	0.905742145178765	0.88	0.3732394366197183	0.5792349726775956	0.4539614561027837	0.048780487804878	0.1403508771929824	0.0723981900452488			
pred_4cac	0.7289579158316634	0.4860533038145036	0.7844180309377702	0.904055822067161	0.7327677624602333	0.8094494338149161	0.8623265741728922	0.875406283856988	0.8688172043010752	0.6176470588235294	0.1147540983606557	0.1935483870967742	0.048780487804878	0.1403508771929824	0.0723981900452488			
pred_dmc	0.4754509018036072	0.4592281688200261	0.5894547850486009	0.8889830508474577	0.3708024036762107	0.5233225243202794	0.9359795134443022	0.7919826652221018	0.857981220657277	0.3475409836065574	0.5792349726775956	0.4344262295081967	0.0111524163568773	0.2105263157894736	0.0211827007943512			
