mode	scenario	model	n_eval	precision_macro	recall_macro	f1_macro	precision_bacteria	recall_bacteria	f1_bacteria	support_bacteria	precision_eukaryota	recall_eukaryota	f1_eukaryota	support_eukaryota	precision_plasmid	recall_plasmid	f1_plasmid	support_plasmid	precision_virus	recall_virus	f1_virus	support_virus
short	bacteria_dominant_55	dmc	280	0.70016210739615	0.7504058441558441	0.7090136893987478	0.8794326241134752	0.8051948051948052	0.8406779661016949	154	0.8297872340425532	0.6964285714285714	0.7572815533980582	56	0.5714285714285714	0.5714285714285714	0.5714285714285714	42	0.52	0.9285714285714286	0.6666666666666666	28
short	bacteria_dominant_55	4cac	280	0.8541005291005291	0.5293560606060606	0.5647140093948604	0.8	0.9090909090909091	0.851063829787234	154	0.7592592592592593	0.7321428571428571	0.7454545454545455	56	1.0	0.047619047619047616	0.09090909090909091	42	0.8571428571428571	0.42857142857142855	0.5714285714285714	28
short	bacteria_dominant_55	hybrid_no_rescue	280	0.7852279800809212	0.6792478354978355	0.7013564426239445	0.8154761904761905	0.8896103896103896	0.8509316770186336	154	0.7592592592592593	0.7321428571428571	0.7454545454545455	56	0.9411764705882353	0.38095238095238093	0.5423728813559322	42	0.625	0.7142857142857143	0.6666666666666666	28
short	bacteria_dominant_55	hybrid_rescue	280	0.7151105245181026	0.7219967532467533	0.7175394511711647	0.8482758620689655	0.7987012987012987	0.822742474916388	154	0.7592592592592593	0.7321428571428571	0.7454545454545455	56	0.627906976744186	0.6428571428571429	0.6352941176470588	42	0.625	0.7142857142857143	0.6666666666666666	28
short	balanced_25_25_25_25	dmc	280	0.7879380740314834	0.7785714285714285	0.7768170746180751	0.7313432835820896	0.7	0.7153284671532847	70	0.9074074074074074	0.7	0.7903225806451613	70	0.7714285714285715	0.7714285714285715	0.7714285714285715	70	0.7415730337078652	0.9428571428571428	0.8301886792452831	70
short	balanced_25_25_25_25	4cac	280	0.8207885304659499	0.5285714285714286	0.5291306811912572	0.5	0.8571428571428571	0.631578947368421	70	0.8387096774193549	0.7428571428571429	0.7878787878787878	70	1.0	0.02857142857142857	0.05555555555555555	70	0.9444444444444444	0.4857142857142857	0.6415094339622641	70
short	balanced_25_25_25_25	hybrid_no_rescue	280	0.7536277218397145	0.65	0.6660216730784783	0.49557522123893805	0.8	0.6120218579234973	70	0.8387096774193549	0.7428571428571429	0.7878787878787878	70	0.8666666666666667	0.37142857142857144	0.52	70	0.8135593220338984	0.6857142857142857	0.7441860465116279	70
short	balanced_25_25_25_25	hybrid_rescue	280	0.7615661379285468	0.7214285714285715	0.7391320154566344	0.6052631578947368	0.6571428571428571	0.6301369863013698	70	0.8387096774193549	0.7428571428571429	0.7878787878787878	70	0.7887323943661971	0.8	0.7943262411347518	70	0.8135593220338984	0.6857142857142857	0.7441860465116279	70
short	eukaryota_rich_50	dmc	280	0.6922948662639385	0.7541666666666667	0.6986812039900554	0.7037037037037037	0.6785714285714286	0.6909090909090909	56	0.9690721649484536	0.6714285714285714	0.7932489451476793	140	0.5769230769230769	0.7142857142857143	0.6382978723404256	42	0.5194805194805194	0.9523809523809523	0.6722689075630253	42
short	eukaryota_rich_50	4cac	280	0.873957866427611	0.5648809523809524	0.5773063323690132	0.5567010309278351	0.9642857142857143	0.7058823529411765	56	0.9391304347826087	0.7714285714285715	0.8470588235294118	140	1.0	0.07142857142857142	0.13333333333333333	42	1.0	0.4523809523809524	0.6229508196721312	42
short	eukaryota_rich_50	hybrid_no_rescue	280	0.8224584424241175	0.7196428571428571	0.7284418512144568	0.5684210526315789	0.9642857142857143	0.7152317880794702	56	0.9391304347826087	0.7714285714285715	0.8470588235294118	140	0.9444444444444444	0.40476190476190477	0.5666666666666667	42	0.8378378378378378	0.7380952380952381	0.7848101265822784	42
short	eukaryota_rich_50	hybrid_rescue	280	0.7650976831283737	0.7613095238095238	0.7575177399076158	0.6363636363636364	0.75	0.6885245901639344	56	0.9391304347826087	0.7714285714285715	0.8470588235294118	140	0.6470588235294118	0.7857142857142857	0.7096774193548387	42	0.8378378378378378	0.7380952380952381	0.7848101265822784	42
short	plasmid_spike_30	dmc	280	0.8093098455598455	0.8220663265306123	0.8100460722607503	0.79	0.8061224489795918	0.797979797979798	98	0.94	0.8392857142857143	0.8867924528301887	56	0.8108108108108109	0.7142857142857143	0.759493670886076	84	0.6964285714285714	0.9285714285714286	0.7959183673469388	42
short	plasmid_spike_30	4cac	280	0.8631801962533452	0.5918367346938775	0.5907715145689207	0.6052631578947368	0.9387755102040817	0.736	98	0.847457627118644	0.8928571428571429	0.8695652173913043	56	1.0	0.05952380952380952	0.11235955056179775	84	1.0	0.47619047619047616	0.6451612903225806	42
short	plasmid_spike_30	hybrid_no_rescue	280	0.8179991994063891	0.7185374149659863	0.7363903091640698	0.6285714285714286	0.8979591836734694	0.7394957983193278	98	0.847457627118644	0.8928571428571429	0.8695652173913043	56	0.925	0.44047619047619047	0.5967741935483871	84	0.8709677419354839	0.6428571428571429	0.7397260273972602	42
short	plasmid_spike_30	hybrid_rescue	280	0.8148627525199423	0.7678571428571429	0.7864224280553787	0.7333333333333333	0.7857142857142857	0.7586206896551724	98	0.847457627118644	0.8928571428571429	0.8695652173913043	56	0.8076923076923077	0.75	0.7777777777777778	84	0.8709677419354839	0.6428571428571429	0.7397260273972602	42
short	virus_spike_25	dmc	280	0.8424725715747388	0.8415816326530612	0.8400749129477902	0.8791208791208791	0.8163265306122449	0.8465608465608465	98	0.9215686274509803	0.8392857142857143	0.8785046728971962	56	0.7543859649122807	0.7678571428571429	0.7610619469026548	56	0.8148148148148148	0.9428571428571428	0.8741721854304636	70
short	virus_spike_25	4cac	280	0.8591697575961935	0.5614795918367347	0.5748436640312736	0.6910569105691057	0.8673469387755102	0.7692307692307693	98	0.7741935483870968	0.8571428571428571	0.8135593220338984	56	1.0	0.03571428571428571	0.06896551724137931	56	0.9714285714285714	0.4857142857142857	0.6476190476190476	70
short	virus_spike_25	hybrid_no_rescue	280	0.8144416873449132	0.6982142857142857	0.7267253611610784	0.6774193548387096	0.8571428571428571	0.7567567567567568	98	0.7741935483870968	0.8571428571428571	0.8135593220338984	56	0.8461538461538461	0.39285714285714285	0.5365853658536586	56	0.96	0.6857142857142857	0.8	70
short	virus_spike_25	hybrid_rescue	280	0.8110950400671559	0.7753826530612244	0.7868592633047669	0.7474747474747475	0.7551020408163265	0.751269035532995	98	0.7741935483870968	0.8571428571428571	0.8135593220338984	56	0.7627118644067796	0.8035714285714286	0.782608695652174	56	0.96	0.6857142857142857	0.8	70
